des,name,diameter_m,diameter_estimated,vi_datetime_utc,ip_max,ps_max,vel_km_s,years_range,ip_cum,ps_cum,date,mjd,sigma,sigimp,dist_re,width_re,stretch_re,p_re,exp_energy_mt,ps,ts
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2092-08-13.957,85372.957,-4.331,0.0,0.82,0.0,6830000.0,8.07e-11,1.07,-10.38,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2092-09-03.239,85393.239,0.928,0.0,3.39,0.001,5930000.0,6.78e-07,1.07,-6.45,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2092-09-04.983,85394.983,-1.569,0.0,5.33,0.006,8310000.0,1.9e-07,1.07,-7.01,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2092-09-08.223,85398.223,1.035,0.0,1.84,0.063,11800000.0,3.19e-07,1.07,-6.78,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2092-09-10.013,85400.013,-1.485,0.0,5.2,0.0,2860000.0,6.42e-07,1.07,-6.48,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2092-09-10.293,85400.293,0.988,0.0,6.26,0.0,19100000.0,2.18e-07,1.07,-6.95,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2092-12-22.407,85503.407,0.726,0.0,5.58,0.004,7420000.0,5.12e-07,1.07,-6.58,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2093-07-26.498,85719.498,0.151,0.0,3.85,0.0,9940000.0,6.21e-07,1.07,-6.49,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2093-08-04.665,85728.665,2.861,0.0,5.74,0.001,311000.0,2.67e-07,1.07,-6.86,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2093-08-08.784,85732.784,0.13,0.0,2.36,0.002,168000.0,3.82e-05,1.07,-4.71,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2093-08-08.812,85732.812,0.13,0.0,2.29,0.001,516000.0,1.23e-05,1.07,-5.2,0
