sigma_vi,id,des,ps,ts,method,energy,ip,fullname,sigma_mc,date
2.1181,bK19Q08R,2019 QR8,-7.76,0,IOBS,2.736e-02,8.896e-07,(2019 QR8),,2121-08-26.35
3.1123,bK25Q05A,2025 QA5,-6.70,0,IOBS,2.674e-02,8.713e-07,(2025 QA5),,2033-08-25.17
2.4067,bK20B01Y,2020 BY1,-7.85,0,IOBS,3.670e-01,2.154e-08,(2020 BY1),,2049-01-16.44
0.5800,bK20B11Y,2020 BY11,-8.75,0,IOBS,3.041e-02,8.153e-08,(2020 BY11),,2120-01-25.89
3.3560,bK20V05H,2020 VH5,-9.57,0,IOBS,3.405e-03,5.840e-08,(2020 VH5),,2101-11-14.44
0.4038,bK20V05H,2020 VH5,-7.39,0,IOBS,3.374e-03,8.905e-06,(2020 VH5),,2101-11-14.36
0.3329,bK20V05H,2020 VH5,-8.68,0,IOBS,3.373e-03,4.541e-07,(2020 VH5),,2101-11-14.21
1.8766,bK20V05H,2020 VH5,-10.27,0,IOBS,3.356e-03,1.163e-08,(2020 VH5),,2101-11-14.13
2.1953,bK06C10M,2006 CM10,-4.26,0,IOBS,3.513e+02,1.011e-06,(2006 CM10),,2092-08-12.48
5.4408,bK06D62O,2006 DO62,-10.19,0,IOBS,1.482e-02,3.586e-09,(2006 DO62),,2088-02-22.21
3.8869,bK23S03D,2023 SD3,-10.14,0,IOBS,7.590e-02,6.145e-10,(2023 SD3),,2061-08-20.06
1.9399,bK24T05G,2024 TG5,-9.12,0,IOBS,3.165e-02,1.806e-08,(2024 TG5),,2075-12-11.14
0.9897,bK23H07F,2023 HF7,-7.23,0,IOBS,1.699e-01,2.835e-07,(2023 HF7),,2064-05-01.08
2.2572,bK24X06E,2024 XE6,-7.58,0,IOBS,4.002e-02,9.479e-07,(2024 XE6),,2117-06-04.11
1.8162,bK25C03L,2025 CL3,-7.45,0,IOBS,1.116e+00,5.986e-08,(2025 CL3),,2087-08-31.64
3.3415,bK25C03L,2025 CL3,-9.24,0,IOBS,1.071e+00,1.026e-09,(2025 CL3),,2088-08-30.73
0.8845,bK24Y07T,2024 YT7,-6.25,0,IOBS,4.413e+01,4.897e-08,(2024 YT7),,2085-11-24.25
0.6942,bK25S22K,2025 SK22,-7.56,0,IOBS,2.024e-01,2.902e-07,(2025 SK22),,2123-09-22.83
2.2423,bK21N90F,2021 NF90,-6.23,0,IOBS,1.256e-03,1.680e-04,(2021 NF90),,2070-07-16.17
0.9014,bK06RC0H,2006 RH120,-8.67,0,IOBS,1.268e-03,1.305e-06,(2006 RH120),,2124-02-04.07
